"","CÓDIGO MONTE SENDAS","Nº PARCELA","CÓDIGO ESPECIE","HD","DS1","DS2","DI1","DI2","DN1","DN2","COR1","COR2","LR1","NR","DR1","CRE1","CRE2","HT","HF","DCO1","DCO2","DN"
"7",112,409,32,NA,NA,NA,NA,NA,30,29,NA,NA,NA,NA,NA,NA,NA,11,8,5.8,6.3,29.5
"8",112,410,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,5,2,3.6,3.1,9
"11",112,422,32,NA,NA,NA,NA,NA,23,21,NA,NA,NA,NA,NA,NA,NA,10,2,5.1,3.5,22
"12",112,422,32,NA,NA,NA,NA,NA,25,25,NA,NA,NA,NA,NA,NA,NA,5,1,5.5,4,25
"13",112,423,32,NA,NA,NA,NA,NA,30,30,NA,NA,NA,NA,NA,NA,NA,12,4,6,6,30
"14",112,423,32,NA,NA,NA,NA,NA,25,25,NA,NA,NA,NA,NA,NA,NA,7.5,1.5,5,4.5,25
"17",112,438,32,NA,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,NA,NA,6,2.5,3.9,3.6,17
"91",112,146,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,3,1.4,3,3.1,8
"139",112,136,32,NA,NA,NA,NA,NA,14,13,NA,NA,NA,NA,NA,NA,NA,6.5,1,4.3,4.4,13.5
"141",112,234,32,NA,NA,NA,NA,NA,22,21,NA,NA,NA,NA,NA,NA,NA,6.5,0.5,4.9,4.1,21.5
"142",112,408,32,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,8.5,3,3.9,3.4,12.5
"143",112,430,32,NA,NA,NA,NA,NA,16,17,NA,NA,NA,NA,NA,NA,NA,8,3,4.3,3.3,16.5
"144",112,430,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,5,2,2.4,2.3,9
"145",112,432,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,4.5,1,5.4,5.4,13
"146",112,433,32,NA,NA,NA,NA,NA,10,9,NA,NA,NA,NA,NA,NA,NA,5.5,1.5,3.9,3.7,9.5
"147",112,435,32,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,6,3.5,3.2,3.2,13.5
"148",112,435,32,NA,NA,NA,NA,NA,14,15,NA,NA,NA,NA,NA,NA,NA,6.5,1,3.6,4.5,14.5
"149",112,435,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,8,4,2.7,2.2,12
"150",112,443,32,NA,NA,NA,NA,NA,48,47,NA,NA,NA,NA,NA,NA,NA,9.5,0.5,7.2,6.8,47.5
"151",112,447,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,5.5,4,1.9,1.8,8
"152",112,456,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,5,0.5,3.8,3.9,13
"153",112,456,32,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,NA,NA,5,3.5,2.3,2.4,8
"154",112,456,32,NA,NA,NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,NA,5.5,1.3,2.9,3.8,11.5
"163",112,169,32,NA,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,NA,NA,5,NA,3.9,3.3,9
"166",112,175,32,NA,NA,NA,NA,NA,11,11,NA,NA,NA,NA,NA,NA,NA,8.5,6,1.9,3,11
"167",112,175,32,NA,NA,NA,NA,NA,45,46,NA,NA,NA,NA,NA,NA,NA,12,2,5.8,7.4,45.5
"168",112,180,32,NA,NA,NA,NA,NA,16,15,NA,NA,NA,NA,NA,NA,NA,6,NA,4.3,5.6,15.5
"169",112,180,32,NA,NA,NA,NA,NA,12,12,NA,NA,NA,NA,NA,NA,NA,4.5,NA,3.4,4.2,12
"171",112,182,32,NA,NA,NA,NA,NA,42,40,NA,NA,NA,NA,NA,NA,NA,6,0.5,5.6,6.4,41
"173",112,186,32,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,8,5,2,1.8,10
"174",112,190,32,NA,NA,NA,NA,NA,14,13,NA,NA,NA,NA,NA,NA,NA,5.5,2,4.3,3.9,13.5
"175",112,191,32,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,7,1.3,2.5,2.5,13
"176",112,193,32,NA,NA,NA,NA,NA,54,57,NA,NA,NA,NA,NA,NA,NA,9,2.5,9,8.5,55.5
"177",112,195,32,NA,NA,NA,NA,NA,31,37,NA,NA,NA,NA,NA,NA,NA,11.5,2.5,8.6,7.5,34
